condition,seed,final_prompt,accuracy,accuracy_short,accuracy_long,fuzzy_short_accuracy,judge_score_long,tokens_in_total,tokens_out_total,cost_in_usd,cost_out_usd,cost_total_usd,latency_ms_mean,n_generations,n_llm_calls,elapsed_seconds,_path,n_survivors,pairwise_test,correction,population_size
crop,3,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: El original excede 2300 caracteres; un solo enunciado condensa título, causa, ejemplo y solución.
Intenta ser tan conciso como esta versión: Análisis y prevención de inyección SQL: causa, ejemplo y uso de consultas parametrizadas.",0.8409090909090909,0.7619047619047619,0.9130434782608695,0.8385603814175243,0.6956521739130432,12382,3649,0.0074292,0.008757599999999999,0.0161868,34138.22974622731,4,220,1502.0864352909994,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed3.json,,,,
crop,4,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Condensar el documento a su esencia: definición y cuatro razones clave.
Intenta ser tan conciso como esta versión: Moneda: medio de cambio, unidad de cuenta y depósito de valor. Los países adoptan una propia por soberanía, política monetaria local, seignoría e identidad nacional.",0.7954545454545454,0.5789473684210527,0.96,0.5951273305788711,0.7699999999999999,12794,5107,0.0076764,0.0122568,0.019933199999999998,39527.62714297717,4,220,1739.2193863329958,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed4.json,,,,
crop,5,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Resumen de una sola oración; podría añadirse el uso principal (cifrado y firma) si se requiere más detalle.
Intenta ser tan conciso como esta versión: Criptografía de clave pública: sistema asimétrico con dos claves (pública/privada) que cifra con una y descifra con la otra.",0.7954545454545454,0.6086956521739131,1.0,0.6949428091084565,0.745238095238095,13158,4338,0.007894799999999999,0.010411199999999999,0.018305999999999996,35999.877202659096,4,220,1583.9989182499994,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed5.json,,,,
crop,6,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Incluye definición, modo de ejecución y funciones clave en una sola frase compacta.
Intenta ser tan conciso como esta versión: Kernel = núcleo del SO. Media entre hardware y software en modo privilegiado. Gestiona procesos, memoria, E/S y dispositivos.",0.7954545454545454,0.6666666666666666,1.0,0.6902570691555316,0.7176470588235293,12375,4067,0.007425,0.0097608,0.0171858,37086.38532859087,4,220,1631.8063938749983,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed6.json,,,,
crop,7,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Eliminar contexto histórico, funciones detalladas y características; conservar solo la definición esencial.
Intenta ser tan conciso como esta versión: Un jardín botánico es una institución dedicada al cultivo, conservación y estudio de plantas, con colecciones documentadas y personal científico.",0.8181818181818182,0.7619047619047619,0.8695652173913043,0.8056134281669658,0.6565217391304347,12423,4704,0.0074538,0.011289599999999999,0.0187434,33011.79581818178,4,220,1452.5245412089935,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed7.json,,,,
crop,8,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Eliminé contexto pedagógico, ejemplos, árbol ASCII y características secundarias; mantengo solo la definición esencial.
Intenta ser tan conciso como esta versión: Un espacio de nombres en un sistema de archivos es la estructura jerárquica de rutas usada para identificar de forma única cada archivo y directorio.",0.9545454545454546,0.9333333333333333,0.9655172413793104,0.9888888888888889,0.7975862068965517,12792,4508,0.007675199999999999,0.0108192,0.018494399999999998,45104.15495547727,4,220,1984.584476625,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed8.json,,,,
crop,9,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Eliminé pasos intermedios, formato markdown, datos redundantes (huevos, nombre científico) y el ave extinta.
Intenta ser tan conciso como esta versión: El ave más grande del mundo es el avestruz: hasta 2.8 m de altura, 100-160 kg. Por envergadura, el albatros (3.5 m).",0.8636363636363636,0.6666666666666666,1.0,0.7575246026484626,0.7500000000000001,13509,2511,0.0081054,0.0060264,0.0141318,42559.50105304545,4,220,1872.6224311660003,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed9.json,,,,
unified,0,"Responde con la mayor precisión posible a la pregunta formulada. Cuando proceda, sitúa la respuesta concluyente entre las etiquetas <final_answer>...</final_answer>.

Pauta adicional: Comienza ofreciendo la respuesta definitiva y, después, añade una breve justificación.

Devuelve exclusivamente el prompt reformulado, sin comillas ni etiquetas adicionales.",0.9090909090909091,0.8518518518518519,1.0,0.8983842865421813,0.8776470588235293,10743,8022,0.006445800000000001,0.019252799999999997,0.0256986,145955.6243068182,4,220,6422.049367,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed0.json,4.0,wilcoxon,holm,8.0
unified,1,"Ofrece una contestación precisa a la interrogante expuesta. De ser necesario, sitúa la respuesta concluyente entre los delimitadores <final_answer>...</final_answer>.

Restricción añadida: Limita tu respuesta a un máximo de 30 palabras.",0.8181818181818182,0.6363636363636364,1.0,0.6859132530582142,0.8431818181818183,11764,3362,0.007058399999999999,0.0080688,0.015127199999999999,232884.0040918409,4,220,10246.899939416999,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed1.json,4.0,wilcoxon,holm,8.0
unified,2,"Responde con la mayor exactitud posible a la cuestión planteada. Cuando sea conveniente, enmarca la respuesta definitiva entre <final_answer>...</final_answer>.

Nota sobre brevedad: sintetiza en una sola oración concisa la definición, los modelos representativos y las propiedades fundamentales.

Requisito complementario: redacta toda la respuesta en un único párrafo.",0.9545454545454546,0.8823529411764706,1.0,0.9040211125772624,0.7870370370370371,10504,3440,0.0063024,0.008256,0.014558399999999999,133383.81637784088,4,220,5868.892399083001,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed2.json,4.0,wilcoxon,holm,8.0
unified,3,"Ofrece una contestación precisa a la interrogante formulada. De ser apropiado, muestra el resultado entre las marcas <final_answer>...</final_answer>. Restricción adicional: tu respuesta ha de contener un máximo de 30 palabras.",0.9772727272727273,0.9523809523809523,1.0,0.9579831932773109,0.8978260869565216,11018,4378,0.0066108,0.0105072,0.017118,109044.15538543188,4,220,4797.9489058750005,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed3.json,4.0,wilcoxon,holm,8.0
unified,4,"Responde con la mayor exactitud posible a la pregunta planteada. Si procede, encierra la respuesta definitiva entre las etiquetas <final_answer>...</final_answer>.

Aclaración sobre síntesis: condensar todo en una sola frase introductoria eliminaría detalles importantes sobre las funciones y las razones de su diseño.

Recordatorio de concisión: se suprimieron definiciones redundantes, el listado amplio de motivos (considerados implícitos) y el apartado sobre monedas compartidas, irrelevante para la idea principal.

Restricción añadida: contesta de manera breve y sin reproducir la pregunta.",0.8181818181818182,0.5789473684210527,1.0,0.6223105000966263,0.7719999999999999,12574,2378,0.0075444,0.0057072,0.013251599999999999,140319.7409535909,4,220,6174.073617000002,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed4.json,4.0,wilcoxon,holm,8.0
unified,5,"Brinda una respuesta exacta a la pregunta planteada. En caso de ser pertinente, sitúa la respuesta definitiva dentro de las etiquetas <final_answer>...</final_answer>.

Restricción: tu respuesta no debe superar las 30 palabras.

Restricción: tu respuesta no debe superar las 30 palabras.

Restricción: sé breve y evita repetir el enunciado.",0.8409090909090909,0.782608695652174,0.9047619047619048,0.8526178354183469,0.6333333333333332,11706,1213,0.0070236,0.0029112,0.0099348,67628.62869127275,4,220,2975.664168000003,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed5.json,4.0,wilcoxon,holm,8.0
unified,6,"Facilita una respuesta lo más exacta posible a la pregunta planteada. Si conviene, delimita la respuesta definitiva con <final_answer>...</final_answer>.

Nota sobre síntesis: es suficiente con un encabezado breve que condense la idea principal; los matices pueden ampliarse en el cuerpo.

Recordatorio de brevedad: condensa las definiciones y el vínculo esencial en una sola línea corta.",0.8636363636363636,0.7777777777777778,1.0,0.8283053520794098,0.7441176470588233,11891,1867,0.0071346,0.0044808,0.0116154,118635.81093181827,4,220,5219.980315042005,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed6.json,4.0,wilcoxon,holm,8.0
unified,7,"Responde a la siguiente interrogante con la máxima precisión posible. Cuando sea adecuado, encierra la respuesta final entre las etiquetas <final_answer>...</final_answer>.

Nota sobre la extensión: Incluye únicamente año, descubridor y aporte principal. Excluye datos hospitalarios, fabricación en serie y el contexto de guerra.

Restricción: Sé breve y no reproduzcas la pregunta.

Restricción: Sé breve y no reproduzcas la pregunta.",0.8636363636363636,0.7142857142857143,1.0,0.7828174963036993,0.8195652173913043,12511,3091,0.0075065999999999996,0.0074183999999999995,0.014924999999999999,78790.33835134082,4,220,3466.779695917001,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed7.json,4.0,wilcoxon,holm,8.0
unified,8,"Facilita una contestación lo más precisa posible al planteamiento formulado. Cuando proceda, expone la solución concluyente delimitada por las etiquetas <final_answer>...</final_answer>.

Criterio complementario: Inicia con la respuesta definitiva y, a continuación, incorpora una breve explicación que la respalde.

Indicación de brevedad: Se han omitido las alusiones a rutas, esquemas y redundancias; solo se conserva la esencia del enunciado.

Limitación añadida: Redacta de manera sucinta, sin reproducir la pregunta.",0.9318181818181818,0.8,1.0,0.9063481446090141,0.8568965517241378,13320,4613,0.007991999999999999,0.0110712,0.0190632,81175.92308522729,4,220,3571.7469605419974,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed8.json,4.0,wilcoxon,holm,8.0
unified,9,"Proporciona una respuesta precisa a la pregunta formulada. Cuando proceda, encierra la respuesta concluyente entre las etiquetas <final_answer>...</final_answer>.",0.9318181818181818,0.8333333333333334,1.0,0.8530660161094944,0.9384615384615385,9857,6931,0.0059142,0.016634399999999997,0.022548599999999995,98364.97734186362,4,220,4328.065006249999,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/unified/seed9.json,4.0,wilcoxon,holm,8.0
